Country	Code	Number	Subcontinent	Continent	Lat	Long
Afghanistan	AFG	4	Southern Asia	Asia	33	65
Africa		NA		Africa	NA	NA
Åland Islands	ALA	248	Northern Europe	Europe	NA	NA
Albania	ALB	8	Southern Europe	Europe	41	20
Algeria	DZA	12	Northern Africa	Africa	28	3
American Samoa	ASM	16	Polynesia	Oceania	-14.33	-170
Andorra	AND	20	Southern Europe	Europe	42.5	1.5
Angola	AGO	24	Middle Africa	Africa	-12.5	18.5
Anguilla	AIA	660	Caribbean	North America	18.25	-63.17
Antarctica	ATA	10	Antarctica	Antarctica	-90	0
Antigua and Barbuda	ATG	28	Caribbean	North America	17.05	-61.8
Argentina	ARG	32	South America	South America	-34	-64
Armenia	ARM	51	Western Asia	Asia	40	45
Aruba	ABW	533	Caribbean	North America	12.5	-69.97
Australia	AUS	36	Australia and New Zealand	Oceania	-27	133
Austria	AUT	40	Western Europe	Europe	47.33	13.33
Azerbaijan	AZE	31	Western Asia	Asia	40.5	47.5
Bahamas	BHS	44	Caribbean	North America	24.25	-76
Bahrain	BHR	48	Western Asia	Asia	26	50.55
Bangladesh	BGD	50	Southern Asia	Asia	24	90
Barbados	BRB	52	Caribbean	North America	13.17	-59.53
Belarus	BLR	112	Eastern Europe	Europe	53	28
Belgium	BEL	56	Western Europe	Europe	50.83	4
Belize	BLZ	84	Central America	North America	17.25	-88.75
Benin	BEN	204	Western Africa	Africa	9.5	2.25
Bermuda	BMU	60	Northern America	North America	32.33	-64.75
Bhutan	BTN	64	Southern Asia	Asia	27.5	90.5
Bolivia		NA		South America	-17	-65
Bolivia (Plurinational State of)	BOL	68	South America	South America	-17	-65
Bonaire, Sint Eustatius and Saba	BES	535	Caribbean	North America	NA	NA
Bosnia and Herzegovina	BIH	70	Southern Europe	Europe	44	18
Botswana	BWA	72	Southern Africa	Africa	-22	24
Bouvet Island	BVT	74	South America	South America	-54.43	3.4
Brazil	BRA	76	South America	South America	-10	-55
British Indian Ocean Territory	IOT	86	Eastern Africa	Africa	-6	71.5
British Virgin Islands	VGB	92	Caribbean	North America	NA	NA
Brunei Darussalam	BRN	96	South-eastern Asia	Asia	4.5	114.67
Bulgaria	BGR	100	Eastern Europe	Europe	43	25
Burkina Faso	BFA	854	Western Africa	Africa	13	-2
Burundi	BDI	108	Eastern Africa	Africa	-3.5	30
Cabo Verde	CPV	132	Western Africa	Africa	NA	NA
Cambodia	KHM	116	South-eastern Asia	Asia	13	105
Cameroon	CMR	120	Middle Africa	Africa	6	12
Canada	CAN	124	Northern America	North America	60	-95
Cayman Islands	CYM	136	Caribbean	North America	19.5	-80.5
Central African Republic	CAF	140	Middle Africa	Africa	7	21
Chad	TCD	148	Middle Africa	Africa	15	19
Chile	CHL	152	South America	South America	-30	-71
China	CHN	156	Eastern Asia	Asia	35	105
China, Hong Kong Special Administrative Region	HKG	344	Eastern Asia	Asia	NA	NA
China, Macao Special Administrative Region	MAC	446	Eastern Asia	Asia	NA	NA
Christmas Island	CXR	162	Australia and New Zealand	Oceania	-10.5	105.67
Cocos (Keeling) Islands	CCK	166	Australia and New Zealand	Oceania	-12.5	96.83
Colombia	COL	170	South America	South America	4	-72
Comoros	COM	174	Eastern Africa	Africa	-12.17	44.25
Congo	COG	178	Middle Africa	Africa	-1	15
Cook Islands	COK	184	Polynesia	Oceania	-21.23	-159.77
Costa Rica	CRI	188	Central America	North America	10	-84
Côte d’Ivoire	CIV	384	Western Africa	Africa	NA	NA
Croatia	HRV	191	Southern Europe	Europe	45.17	15.5
Cuba	CUB	192	Caribbean	North America	21.5	-80
Curaçao	CUW	531	Caribbean	North America	NA	NA
Cyprus	CYP	196	Western Asia	Asia	35	33
Czech Republic		NA		Europe	49.75	15.5
Czechia	CZE	203	Eastern Europe	Europe	49.75	15.5
Democratic People's Republic of Korea	PRK	408	Eastern Asia	Asia	NA	NA
Democratic Republic of the Congo	COD	180	Middle Africa	Africa	-1	15
Denmark	DNK	208	Northern Europe	Europe	56	10
Djibouti	DJI	262	Eastern Africa	Africa	11.5	43
Dominica	DMA	212	Caribbean	North America	15.42	-61.33
Dominican Republic	DOM	214	Caribbean	North America	19	-70.67
Ecuador	ECU	218	South America	South America	-2	-77.5
Egypt	EGY	818	Northern Africa	Africa	27	30
El Salvador	SLV	222	Central America	North America	13.83	-88.92
Equatorial Guinea	GNQ	226	Middle Africa	Africa	2	10
Eritrea	ERI	232	Eastern Africa	Africa	15	39
Estonia	EST	233	Northern Europe	Europe	59	26
Eswatini	SWZ	748	Southern Africa	Africa	NA	NA
Ethiopia	ETH	231	Eastern Africa	Africa	8	38
Falkland Islands (Malvinas)	FLK	238	South America	South America	-51.75	-59
Faroe Islands	FRO	234	Northern Europe	Europe	62	-7
Fiji	FJI	242	Melanesia	Oceania	-18	175
Finland	FIN	246	Northern Europe	Europe	64	26
France	FRA	250	Western Europe	Europe	46	2
French Guiana	GUF	254	South America	South America	4	-53
French Polynesia	PYF	258	Polynesia	Oceania	-15	-140
French Southern Territories	ATF	260	Eastern Africa	Africa	-43	67
Gabon	GAB	266	Middle Africa	Africa	-1	11.75
Gambia	GMB	270	Western Africa	Africa	13.47	-16.57
Georgia	GEO	268	Western Asia	Asia	42	43.5
Germany	DEU	276	Western Europe	Europe	51	9
Ghana	GHA	288	Western Africa	Africa	8	-2
Gibraltar	GIB	292	Southern Europe	Europe	36.18	-5.37
Greece	GRC	300	Southern Europe	Europe	39	22
Greenland	GRL	304	Northern America	North America	72	-40
Grenada	GRD	308	Caribbean	North America	12.12	-61.67
Guadeloupe	GLP	312	Caribbean	North America	16.25	-61.58
Guam	GUM	316	Micronesia	Oceania	13.47	144.78
Guatemala	GTM	320	Central America	North America	15.5	-90.25
Guernsey	GGY	831	Northern Europe	Europe	NA	NA
Guinea	GIN	324	Western Africa	Africa	11	-10
Guinea-Bissau	GNB	624	Western Africa	Africa	12	-15
Guyana	GUY	328	South America	South America	5	-59
Haiti	HTI	332	Caribbean	North America	19	-72.42
Heard Island and McDonald Islands	HMD	334	Australia and New Zealand	Oceania	-53.1	72.52
Holy See	VAT	336	Southern Europe	Europe	NA	NA
Honduras	HND	340	Central America	North America	15	-86.5
Hungary	HUN	348	Eastern Europe	Europe	47	20
Iceland	ISL	352	Northern Europe	Europe	65	-18
India	IND	356	Southern Asia	Asia	20	77
Indonesia	IDN	360	South-eastern Asia	Asia	-5	120
Iran (Islamic Republic of)	IRN	364	Southern Asia	Asia	NA	NA
Iraq	IRQ	368	Western Asia	Asia	33	44
Ireland	IRL	372	Northern Europe	Europe	53	-8
Isle of Man	IMN	833	Northern Europe	Europe	NA	NA
Israel	ISR	376	Western Asia	Asia	31.5	34.75
Italy	ITA	380	Southern Europe	Europe	42.83	12.83
Jamaica	JAM	388	Caribbean	North America	18.25	-77.5
Japan	JPN	392	Eastern Asia	Asia	36	138
Jersey	JEY	832	Northern Europe	Europe	NA	NA
Jordan	JOR	400	Western Asia	Asia	31	36
Kazakhstan	KAZ	398	Central Asia	Asia	48	68
Kenya	KEN	404	Eastern Africa	Africa	1	38
Kiribati	KIR	296	Micronesia	Oceania	1.42	173
Kuwait	KWT	414	Western Asia	Asia	29.34	47.66
Kyrgyzstan	KGZ	417	Central Asia	Asia	41	75
Lao People's Democratic Republic	LAO	418	South-eastern Asia	Asia	18	105
Latvia	LVA	428	Northern Europe	Europe	57	25
Lebanon	LBN	422	Western Asia	Asia	33.83	35.83
Lesotho	LSO	426	Southern Africa	Africa	-29.5	28.5
Liberia	LBR	430	Western Africa	Africa	6.5	-9.5
Libya	LBY	434	Northern Africa	Africa	NA	NA
Liechtenstein	LIE	438	Western Europe	Europe	47.17	9.53
Lithuania	LTU	440	Northern Europe	Europe	56	24
Luxembourg	LUX	442	Western Europe	Europe	49.75	6.17
Madagascar	MDG	450	Eastern Africa	Africa	-20	47
Malawi	MWI	454	Eastern Africa	Africa	-13.5	34
Malaysia	MYS	458	South-eastern Asia	Asia	2.5	112.5
Maldives	MDV	462	Southern Asia	Asia	3.25	73
Mali	MLI	466	Western Africa	Africa	17	-4
Malta	MLT	470	Southern Europe	Europe	35.83	14.58
Marshall Islands	MHL	584	Micronesia	Oceania	9	168
Martinique	MTQ	474	Caribbean	North America	14.67	-61
Mauritania	MRT	478	Western Africa	Africa	20	-12
Mauritius	MUS	480	Eastern Africa	Africa	-20.28	57.55
Mayotte	MYT	175	Eastern Africa	Africa	-12.83	45.17
Mexico	MEX	484	Central America	North America	23	-102
Micronesia (Federated States of)	FSM	583	Micronesia	Oceania	NA	NA
Monaco	MCO	492	Western Europe	Europe	43.73	7.4
Mongolia	MNG	496	Eastern Asia	Asia	46	105
Montenegro	MNE	499	Southern Europe	Europe	42	19
Montserrat	MSR	500	Caribbean	North America	16.75	-62.2
Morocco	MAR	504	Northern Africa	Africa	32	-5
Mozambique	MOZ	508	Eastern Africa	Africa	-18.25	35
Myanmar	MMR	104	South-eastern Asia	Asia	22	98
Namibia	NAM	516	Southern Africa	Africa	-22	17
Nauru	NRU	520	Micronesia	Oceania	-0.53	166.92
Nepal	NPL	524	Southern Asia	Asia	28	84
Netherlands	NLD	528	Western Europe	Europe	52.5	5.75
New Caledonia	NCL	540	Melanesia	Oceania	-21.5	165.5
New Zealand	NZL	554	Australia and New Zealand	Oceania	-41	174
Nicaragua	NIC	558	Central America	North America	13	-85
Niger	NER	562	Western Africa	Africa	16	8
Nigeria	NGA	566	Western Africa	Africa	10	8
Niue	NIU	570	Polynesia	Oceania	-19.03	-169.87
Norfolk Island	NFK	574	Australia and New Zealand	Oceania	-29.03	167.95
North Macedonia	MKD	807	Southern Europe	Europe	NA	NA
Northern Mariana Islands	MNP	580	Micronesia	Oceania	15.2	145.75
Norway	NOR	578	Northern Europe	Europe	62	10
Oman	OMN	512	Western Asia	Asia	21	57
Pakistan	PAK	586	Southern Asia	Asia	30	70
Palau	PLW	585	Micronesia	Oceania	7.5	134.5
Panama	PAN	591	Central America	North America	9	-80
Papua New Guinea	PNG	598	Melanesia	Oceania	-6	147
Paraguay	PRY	600	South America	South America	-23	-58
Peru	PER	604	South America	South America	-10	-76
Philippines	PHL	608	South-eastern Asia	Asia	13	122
Pitcairn	PCN	612	Polynesia	Oceania	NA	NA
Poland	POL	616	Eastern Europe	Europe	52	20
Portugal	PRT	620	Southern Europe	Europe	39.5	-8
Puerto Rico	PRI	630	Caribbean	North America	18.25	-66.5
Qatar	QAT	634	Western Asia	Asia	25.5	51.25
Republic of Korea	KOR	410	Eastern Asia	Asia	NA	NA
Republic of Moldova	MDA	498	Eastern Europe	Europe	NA	NA
Réunion	REU	638	Eastern Africa	Africa	NA	NA
Romania	ROU	642	Eastern Europe	Europe	46	25
Russia		NA		Europe	60	100
Russian Federation	RUS	643	Eastern Europe	Europe	60	100
Rwanda	RWA	646	Eastern Africa	Africa	-2	30
Saint Barthélemy	BLM	652	Caribbean	North America	NA	NA
Saint Helena	SHN	654	Western Africa	Africa	-15.93	-5.7
Saint Kitts and Nevis	KNA	659	Caribbean	North America	17.33	-62.75
Saint Lucia	LCA	662	Caribbean	North America	13.88	-61.13
Saint Martin (French Part)	MAF	663	Caribbean	North America	NA	NA
Saint Pierre and Miquelon	SPM	666	Northern America	North America	46.83	-56.33
Saint Vincent and the Grenadines	VCT	670	Caribbean	North America	13.25	-61.2
Samoa	WSM	882	Polynesia	Oceania	-13.58	-172.33
San Marino	SMR	674	Southern Europe	Europe	43.77	12.42
Sao Tome and Principe	STP	678	Middle Africa	Africa	1	7
Sark		680	Northern Europe	Europe	NA	NA
Saudi Arabia	SAU	682	Western Asia	Asia	25	45
Senegal	SEN	686	Western Africa	Africa	14	-14
Serbia	SRB	688	Southern Europe	Europe	44	21
Seychelles	SYC	690	Eastern Africa	Africa	-4.58	55.67
Sierra Leone	SLE	694	Western Africa	Africa	8.5	-11.5
Singapore	SGP	702	South-eastern Asia	Asia	1.37	103.8
Sint Maarten (Dutch part)	SXM	534	Caribbean	North America	NA	NA
Slovakia	SVK	703	Eastern Europe	Europe	48.67	19.5
Slovenia	SVN	705	Southern Europe	Europe	46	15
Solomon Islands	SLB	90	Melanesia	Oceania	-8	159
Somalia	SOM	706	Eastern Africa	Africa	10	49
South Africa	ZAF	710	Southern Africa	Africa	-29	24
South Georgia and the South Sandwich Islands	SGS	239	South America	South America	-54.5	-37
South Sudan	SSD	728	Eastern Africa	Africa	15	30
Spain	ESP	724	Southern Europe	Europe	40	-4
Sri Lanka	LKA	144	Southern Asia	Asia	7	81
State of Palestine	PSE	275	Western Asia	Asia	NA	NA
Sudan	SDN	729	Northern Africa	Africa	15	30
Suriname	SUR	740	South America	South America	4	-56
Svalbard and Jan Mayen Islands	SJM	744	Northern Europe	Europe	NA	NA
Sweden	SWE	752	Northern Europe	Europe	62	15
Switzerland	CHE	756	Western Europe	Europe	47	8
Syrian Arab Republic	SYR	760	Western Asia	Asia	35	38
Tajikistan	TJK	762	Central Asia	Asia	39	71
Tanzania	TZA	834	Eastern Africa	Africa	-6	35
Thailand	THA	764	South-eastern Asia	Asia	15	100
Timor-Leste	TLS	626	South-eastern Asia	Asia	NA	NA
Togo	TGO	768	Western Africa	Africa	8	1.17
Tokelau	TKL	772	Polynesia	Oceania	-9	-172
Tonga	TON	776	Polynesia	Oceania	-20	-175
Trinidad and Tobago	TTO	780	Caribbean	North America	11	-61
Tunisia	TUN	788	Northern Africa	Africa	34	9
Turkey	TUR	792	Western Asia	Asia	39	35
Turkmenistan	TKM	795	Central Asia	Asia	40	60
Turks and Caicos Islands	TCA	796	Caribbean	North America	21.75	-71.58
Tuvalu	TUV	798	Polynesia	Oceania	-8	178
Uganda	UGA	800	Eastern Africa	Africa	1	32
Ukraine	UKR	804	Eastern Europe	Europe	49	32
United Arab Emirates	ARE	784	Western Asia	Asia	24	54
United Kingdom		NA		Europe	54	-2
United Kingdom of Great Britain and Northern Ireland	GBR	826	Northern Europe	Europe	54	-2
United Republic of Tanzania	TZA	834	Eastern Africa	Africa	-6	35
United States Minor Outlying Islands	UMI	581	Micronesia	Oceania	19.28	166.6
United States of America	USA	840	Northern America	North America	38	-97
United States Virgin Islands	VIR	850	Caribbean	North America	NA	NA
Uruguay	URY	858	South America	South America	-33	-56
USA	USA	840	Northern America	North America	38	-97
Uzbekistan	UZB	860	Central Asia	Asia	41	64
Vanuatu	VUT	548	Melanesia	Oceania	-16	167
Venezuela (Bolivarian Republic of)	VEN	862	South America	South America	NA	NA
Viet Nam	VNM	704	South-eastern Asia	Asia	NA	NA
Wallis and Futuna Islands	WLF	876	Polynesia	Oceania	NA	NA
Western Sahara	ESH	732	Northern Africa	Africa	24.5	-13
Yemen	YEM	887	Western Asia	Asia	15	48
Zambia	ZMB	894	Eastern Africa	Africa	-15	30
Zimbabwe	ZWE	716	Eastern Africa	Africa	-20	30
